Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Gender,Debut Age,BMI,Debut Year,Current Year,Career Length
2Soul,Kim Younghoon,1997-09-10,7 O'clock,2014-08-26,Jungle,South Korea,172.0,55.0,Unknown,M,17,18.591130340724717,2014,2024,10
A.M,Seong Hyunwoo,1996-12-31,Limitless,2019-07-09,ONO,South Korea,181.0,62.0,Unknown,M,23,18.924941241109856,2019,2024,5
Ace,Jang Wooyoung,1992-08-28,VAV,2015-10-31,A team,South Korea,177.0,63.0,Unknown,M,23,20.109164033323754,2015,2024,9
Aeji,Kwon Aeji,1999-10-25,Hash Tag,2017-10-11,LUK,South Korea,163.0,57.0,Daegu,F,18,21.453573713726524,2017,2024,7
AhIn,Lee Ahin,1999-09-27,MOMOLAND,2016-11-09,Double Kick,South Korea,160.0,44.0,Wonju,F,17,17.187499999999996,2016,2024,8
Ahra,Go Ahra,2001-02-21,Favorite,2017-07-05,Astory,South Korea,170.0,57.0,Yeosu,F,16,19.723183391003463,2017,2024,7
Ahyoon,Choi Subin,2004-10-23,BOTOPASS,2020-08-26,WKS ENE,South Korea,170.0,57.0,Unknown,F,16,19.723183391003463,2020,2024,4
Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,2022-10-24,Big Mountain,South Korea,170.0,57.0,Seoul,F,19,19.723183391003463,2022,2024,2
Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,2011-01-03,Happy Face,South Korea,170.0,57.0,Seoul,F,20,19.723183391003463,2011,2024,13
Ahyung,Kang Ahyoung,1996-08-27,P.O.P,2017-07-26,DWM,South Korea,170.0,57.0,Pohang,F,21,19.723183391003463,2017,2024,7
Aisha,Heo Yoorim,2000-07-21,Everglow,2019-03-18,Yuehua,South Korea,170.0,57.0,Unknown,F,19,19.723183391003463,2019,2024,5
Aki,Jang Minju,2001-02-12,MAJORS,2021-03-09,ANS,South Korea,168.0,48.0,Unknown,F,20,17.006802721088437,2021,2024,3
Alex,Alexander Schmidt Lee,2004-10-06,DRIPPIN,2020-10-26,Woollim,Germany,180.0,57.0,Unknown,M,16,17.59259259259259,2020,2024,4
Alice,Song Joohee,1990-03-21,Hello Venus,2012-05-09,Fantagio,South Korea,166.0,47.0,Wonju,F,22,17.056176513282043,2012,2024,12
Alice,Cheon Jaeyoung,2002-02-20,TRACER,2022-04-03,Gleamedia,South Korea,170.0,57.0,Unknown,F,20,19.723183391003463,2022,2024,2
Allen,Allen Ma,1999-04-26,CRAVITY,2020-04-14,Starship,USA,170.0,57.0,Unknown,M,21,19.723183391003463,2020,2024,4
Amber,Amber Josephine Liu,1992-09-18,f(x),2009-09-05,SM,USA,167.0,57.0,Los Angeles,F,17,20.43816558499767,2009,2024,15
A-min,Cho Minwoo,2004-05-22,EPEX,2021-06-08,C9,South Korea,175.0,54.0,Namyangju,M,17,17.632653061224488,2021,2024,3
Andy,Lui Chunyeung,1994-10-06,7 O'clock,2014-08-26,Jungle,Hong Kong,170.0,57.0,Unknown,M,20,19.723183391003463,2014,2024,10
Andy,Lee Sunho,1981-01-21,Shinhwa,1998-03-24,SM| Good| Shinhwa,South Korea,175.0,62.0,Seoul,M,17,20.244897959183675,1998,2024,26
Anne,Lee Seoyoung,2000-10-17,GWSN,2018-09-05,Kiwi Pop,South Korea,170.0,57.0,Unknown,F,18,19.723183391003463,2018,2024,6
Anthony,Anthony Lo,1998-03-12,VARSITY,2017-01-05,GKC,China,179.0,57.0,Unknown,M,19,17.789706937985706,2017,2024,7
Ara,Lee Yunji,2002-01-23,ILY:1,2022-04-04,FC ENM,South Korea,158.0,57.0,Unknown,F,20,22.832879346258608,2022,2024,2
Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,162.0,44.0,Unknown,F,18,16.76573693034598,2022,2024,2
Arang,Park Yerim,2001-01-22,Pink Fantasy,2018-10-28,My Doll,South Korea,167.0,49.0,Unknown,F,18,17.569651116927822,2018,2024,6
Areum,Kim Daun,1998-01-31,AREAL,2020-08-21,JZ Factory,South Korea,170.0,57.0,Unknown,F,23,19.723183391003463,2020,2024,4
Ari,Kim Sunyoung,1994-10-23,Tahiti,2012-06-23,J-line,South Korea,170.0,57.0,Daegu,F,18,19.723183391003463,2012,2024,12
Aria,Baby Gauthami,2003-03-12,X:IN,2023-04-11,Escrow,India,170.0,57.0,Unknown,F,20,19.723183391003463,2023,2024,1
Arie,Jeon Minjae,2000-04-07,MIXX,2016-05-02,Chiko,South Korea,163.0,45.0,Unknown,F,16,16.937031879257784,2016,2024,8
Arin,Choi Yewon,1999-06-18,Oh My Girl,2015-04-21,WM,South Korea,163.0,47.0,Busan,F,16,17.68978885166924,2015,2024,9
Aron,Kwak Youngmin,1993-05-21,NU'EST,2012-03-15,Pledis,South Korea,170.0,57.0,California,M,19,19.723183391003463,2012,2024,12
Arthur,Jang Yunho,2000-04-15,Kingdom,2021-02-18,GF,South Korea,176.0,57.0,Unknown,M,21,18.401342975206614,2021,2024,3
Asahi,Hanada Asahi,2001-08-20,Treasure,2020-08-07,YG,Japan,170.0,57.0,Unknown,M,19,19.723183391003463,2020,2024,4
Ashley,Ashley Choi,1991-11-09,Ladies' Code,2013-03-07,Polaris,South Korea,170.0,57.0,Incheon,F,21,19.723183391003463,2013,2024,11
Aurora,Yang Lan,1997-01-14,NATURE,2018-08-03,n.CH,China,170.0,57.0,Unknown,F,22,19.723183391003463,2018,2024,6
Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,2020-11-17,Major9,Japan,170.0,57.0,Unknown,F,20,19.723183391003463,2020,2024,4
Ayden,Kwon Yejun,2005-01-24,EPEX,2021-06-08,C9,South Korea,174.0,55.0,Unknown,M,16,18.166204254194742,2021,2024,3
Ayeon,Son Minji,2002-09-29,Saturday,2018-07-18,SD,South Korea,162.0,47.0,Unknown,F,16,17.908855357415025,2018,2024,6
Ayno,Noh Yoonho,1996-05-01,VAV,2015-10-31,A team,South Korea,183.0,61.0,Unknown,M,19,18.21493624772313,2015,2024,9
B.S,Lee Youngsoo,1995-04-14,14U,2017-04-17,BG,South Korea,170.0,57.0,Unknown,M,22,19.723183391003463,2017,2024,7
Babysoul,Lee Soojung,1992-07-06,Lovelyz,2014-11-17,Woollim,South Korea,158.0,41.0,Gwangju,F,22,16.423650056080753,2014,2024,10
Bada,Kim Bada,2002-05-28,Hinapia,2019-11-03,Alseulbit,South Korea,162.0,49.0,Unknown,F,17,18.670934308794386,2019,2024,5
Bae,Bae Jinsol,2004-12-28,NMIXX,2022-02-22,JYP,South Korea,170.0,57.0,Unknown,F,17,19.723183391003463,2022,2024,2
Baek Seung,Kim Hyunwoo,2004-10-05,EPEX,2021-06-08,C9,South Korea,186.0,64.0,Seoul,M,17,18.499248468030984,2021,2024,3
Baekah,Kim Sua,1999-10-24,XUM,2020-09-22,A100,South Korea,170.0,57.0,Unknown,F,21,19.723183391003463,2020,2024,4
Baekgyeul,Baek Sunwoo,1999-12-01,E'LAST,2020-06-09,E Entertainment,South Korea,180.0,61.0,Unknown,M,21,18.827160493827158,2020,2024,4
Baekho,Kang Dongho,1995-07-21,NU'EST,2012-03-15,Pledis,South Korea,170.0,57.0,Jeju,M,17,19.723183391003463,2012,2024,12
Baekhyun,Byun Baekhyun,1992-05-06,EXO,2012-04-08,SM,South Korea,174.0,58.0,Wonmi,M,20,19.157088122605362,2012,2024,12
Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,2022-03-01,WakeOne,USA,166.0,57.0,Unknown,F,18,20.685150239512268,2022,2024,2
Bain,Song Byeonghee,2001-05-04,JUST B,2021-06-30,Bluedot,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2021,2024,3
BamBam,Kunpimook Bhuwakul,1997-05-02,GOT7,2014-01-16,JYP,Thailand,170.0,52.0,Bangkok,M,17,17.99307958477509,2014,2024,10
Bang Chan,Bang Chan,1997-10-03,Stray Kids,2018-03-25,JYP,Australia,170.0,57.0,Sydney,M,20,19.723183391003463,2018,2024,6
Bao,Bae Sungyeob,1996-05-12,XEED,2022-12-01,Nature Space,South Korea,182.0,63.0,Unknown,M,27,19.01944209636517,2022,2024,2
B-Bomb,Lee Minhyuk,1990-12-14,Block B,2011-04-15,KQ,South Korea,178.0,60.0,Seoul,M,20,18.93700290367378,2011,2024,13
BC,Jin Sungho,1994-07-18,1TEAM,2019-03-27,LiveWorks,South Korea,170.0,57.0,Unknown,M,25,19.723183391003463,2019,2024,5
BEL,Choi Sunghoon,2000-05-21,DUSTIN,2020-01-06,LPA,South Korea,170.0,57.0,Unknown,M,20,19.723183391003463,2020,2024,4
Belle,Jin Hyeonjoo,2001-11-03,Cignature,2020-02-04,C9,South Korea,170.0,57.0,Goyang,F,18,19.723183391003463,2020,2024,4
Benji,Baek Jaewook,1992-05-03,B.I.G,2014-07-09,GH,USA,183.0,72.0,Indianapolis,M,22,21.49959688255845,2014,2024,10
Beomgyu,Choi Beomgyu,2001-03-13,TXT,2019-03-04,Big Hit,South Korea,170.0,57.0,Unknown,M,18,19.723183391003463,2019,2024,5
Bessie,Kim Susanna,2004-07-15,Lapillus,2022-06-22,MLD,South Korea,170.0,57.0,Changwon,F,18,19.723183391003463,2022,2024,2
